Arda Valles,-20.40,327.69,173670.00,3396200.00,ME
Arena Colles,24.63,82.93,580120.00,3396200.00,AA
Arena Dorsum,12.71,68.94,372030.00,3396200.00,AA
[Arena Rupes],13.35,70.50,375000.00,3396200.00,AA
Ares Vallis,10.29,334.39,1757670.00,3396200.00,ME
Argas,23.33,309.83,3550.00,3396200.00,AA
Argentea Planum,-72.49,298.33,1370640.00,3396200.00,ME
Argyre,-44.66,335.00,0.00,3396200.00,AA
Argyre Cavi,-48.31,319.88,72330.00,3396200.00,AA
Argyre Mons,-50.37,311.91,60580.00,3396200.00,MO
Argyre Planitia,-49.84,316.69,892930.00,3396200.00,ME
Argyre Rupes,-62.15,291.25,335420.00,3396200.00,AA
Ariadnes Colles,-34.50,172.78,188010.00,3396200.00,AA
Arica,-23.80,110.24,15770.00,3396200.00,AA
Arima,-15.84,296.32,53590.00,3396200.00,AA
Arimanes Rupes,-9.84,212.30,192670.00,3396200.00,AA
Arkhangelsky,-41.09,335.21,116830.00,3396200.00,AA
Arnon,47.66,25.00,0.00,3396200.00,AA
Arnus Vallis,13.97,70.61,311610.00,3396200.00,ME
Aromatum Chaos,-1.03,317.03,72800.00,3396200.00,AA
Arrhenius,-40.04,122.71,122720.00,3396200.00,AA
Arsia Chasmata,-7.47,240.65,97060.00,3396200.00,AA
Arsia Mons,-8.26,239.91,470000.00,3396200.00,MO
Arsia Sulci,-6.29,230.19,500000.00,3396200.00,AA
Arsinoes Chaos,-7.66,332.08,200080.00,3396200.00,AA
Arta,21.38,305.71,3960.00,3396200.00,AA
Artik,-34.80,130.98,5360.00,3396200.00,AA
Artynia Catena,47.69,240.55,279280.00,3396200.00,AA
Asau,-3.63,154.68,25050.00,3396200.00,AA
Ascraeus Chasmata,8.77,254.37,105200.00,3396200.00,AA
Ascraeus Mensa,11.72,252.11,34860.00,3396200.00,AA
Ascraeus Mons,11.92,255.92,456400.00,3396200.00,MO
Ascraeus Sulci,12.06,251.25,138700.00,3396200.00,AA
Ascuris Planum,40.59,279.22,617660.00,3396200.00,ME
Asimov,-46.97,4.93,80820.00,3396200.00,AA
Asopus Vallis,-4.29,210.39,40820.00,3396200.00,ME
Aspen,-21.39,336.85,18480.00,3396200.00,AA
Aspledon Undae,73.06,309.65,215200.00,3396200.00,AA
Astapus Colles,35.46,88.08,597000.00,3396200.00,AA
Athabasca Valles,8.54,155.01,270000.00,3396200.00,ME
Atlantis Chaos,-34.28,182.69,181370.00,3396200.00,AA
[Atrax Dorsum],38.19,271.00,33860.00,3396200.00,AA
Atrax Fossa,38.19,271.02,34420.00,3396200.00,AA
Auqakuh Vallis,30.25,60.41,347000.00,3396200.00,ME
Aureum Chaos,-3.89,333.04,351030.00,3396200.00,AA
Aurorae Chaos,-8.47,325.19,713920.00,3396200.00,AA
Aurorae Planum,-10.41,311.38,564490.00,3396200.00,ME
Aurorae Sinus,-14.83,310.00,0.00,3396200.00,AA
Ausonia,-39.67,110.00,0.00,3396200.00,AA
Ausonia Cavus,-31.92,96.55,49500.00,3396200.00,AA
Ausonia Mensa,-30.02,97.72,102510.00,3396200.00,AA
Ausonia Montes,-25.42,99.04,333130.00,3396200.00,AA
Australe Lingula,-84.05,68.56,436330.00,3396200.00,AA
Australe Mensa,-86.88,357.24,172000.00,3396200.00,AA
Australe Montes,-80.19,14.05,411670.00,3396200.00,AA
